거래번호,지점,고객타입,성별,제품군,단가,수량,매출액,날짜,시간,지불방식,매출원가,매출이익
750-67-8428,A,회원,여성,헬스/뷰티,"77,678",7,"543,746",2019-01-05,13:08,신용카드,"522,830","20,916"
226-31-3081,C,비회원,여성,컴퓨터 주변기기,"15,891",5,"79,455",2019-03-08,10:29,현금,"76,400","3,055"
631-41-3108,A,비회원,남성,홈데코,"48,183",7,"337,281",2019-03-03,13:23,신용카드,"324,310","12,971"
123-19-1176,A,회원,남성,헬스/뷰티,"60,549",8,"484,392",2019-01-27,20:33,신용카드,"465,760","18,632"
373-73-7910,A,비회원,남성,스포츠/여행,"89,762",7,"628,334",2019-02-08,10:37,신용카드,"604,170","24,164"
699-14-3026,C,비회원,남성,컴퓨터 주변기기,"88,806",7,"621,642",2019-03-25,18:30,신용카드,"597,730","23,912"
355-53-5943,A,회원,여성,컴퓨터 주변기기,"71,594",6,"429,564",2019-02-25,14:36,신용카드,"413,040","16,524"
315-22-5665,C,비회원,여성,홈데코,"76,502",10,"765,020",2019-02-24,11:38,신용카드,"735,600","29,420"
665-32-9167,A,회원,여성,헬스/뷰티,"37,710",2,"75,420",2019-01-10,17:15,신용카드,"72,520","2,900"
692-92-5582,B,회원,여성,식품/음료,"57,034",3,"171,102",2019-02-20,13:27,신용카드,"164,520","6,582"
351-62-0822,B,회원,여성,패션/액세서리,"15,059",4,"60,236",2019-02-06,18:07,신용카드,"57,920","2,316"
529-56-3974,B,회원,남성,컴퓨터 주변기기,"26,530",4,"106,120",2019-03-09,17:03,현금,"102,040","4,080"
365-64-0515,A,비회원,여성,컴퓨터 주변기기,"48,828",5,"244,140",2019-02-12,10:25,신용카드,"234,750","9,390"
252-56-2699,A,비회원,남성,식품/음료,"44,918",10,"449,180",2019-02-07,16:48,신용카드,"431,900","17,280"
829-34-3910,A,비회원,여성,헬스/뷰티,"74,235",10,"742,350",2019-03-29,19:21,현금,"713,800","28,550"
299-46-1805,B,회원,여성,스포츠/여행,"97,469",6,"584,814",2019-01-15,16:19,현금,"562,320","22,494"
656-95-9349,A,회원,여성,헬스/뷰티,"71,687",7,"501,809",2019-03-11,11:03,신용카드,"482,510","19,299"
765-26-6951,A,비회원,남성,스포츠/여행,"75,514",6,"453,084",2019-01-01,10:39,신용카드,"435,660","17,424"
329-62-1586,A,비회원,남성,식품/음료,"56,857",3,"170,571",2019-01-21,18:00,신용카드,"164,010","6,561"
319-50-3348,B,비회원,여성,홈데코,"41,912",2,"83,824",2019-03-11,15:30,신용카드,"80,600","3,224"
300-71-4605,C,회원,남성,컴퓨터 주변기기,"89,482",5,"447,410",2019-02-25,11:24,신용카드,"430,200","17,210"
371-85-5789,B,비회원,남성,헬스/뷰티,"91,499",3,"274,497",2019-03-05,10:40,신용카드,"263,940","10,557"
273-16-6619,B,비회원,남성,홈데코,"34,528",2,"69,056",2019-03-15,12:20,신용카드,"66,400","2,656"
636-48-8204,A,비회원,남성,컴퓨터 주변기기,"35,942",5,"179,710",2019-02-17,11:15,신용카드,"172,800","6,910"
549-59-1358,A,회원,남성,스포츠/여행,"92,175",3,"276,525",2019-03-02,17:36,신용카드,"265,890","10,635"
227-03-5010,A,회원,여성,홈데코,"54,694",8,"437,552",2019-03-22,19:20,신용카드,"420,720","16,832"
649-29-6775,B,비회원,남성,패션/액세서리,"34,861",1,"34,861",2019-02-08,15:31,현금,"33,520","1,341"
189-17-4241,A,비회원,여성,패션/액세서리,"91,177",2,"182,354",2019-03-10,12:17,신용카드,"175,340","7,014"
145-94-9061,B,비회원,여성,식품/음료,"91,894",5,"459,470",2019-01-25,19:48,현금,"441,800","17,670"
848-62-7243,A,비회원,남성,헬스/뷰티,"25,886",9,"232,974",2019-03-15,15:36,현금,"224,010","8,964"
871-79-8483,B,비회원,남성,패션/액세서리,"97,895",5,"489,475",2019-02-25,19:39,신용카드,"470,650","18,825"
149-71-6266,B,회원,남성,스포츠/여행,"81,193",9,"730,737",2019-01-28,12:43,현금,"702,630","28,107"
640-49-2076,B,비회원,남성,스포츠/여행,"87,131",8,"697,048",2019-01-10,14:49,현금,"670,240","26,808"
595-11-5460,A,비회원,남성,헬스/뷰티,"100,443",2,"200,886",2019-03-15,10:12,신용카드,"193,160","7,726"
183-56-6882,C,회원,여성,식품/음료,"103,397",4,"413,588",2019-02-06,10:42,신용카드,"397,680","15,908"
232-16-2483,C,회원,여성,스포츠/여행,"70,845",1,"70,845",2019-01-07,12:28,신용카드,"68,120","2,725"
129-29-8530,A,회원,남성,스포츠/여행,"65,125",5,"325,625",2019-03-10,19:15,신용카드,"313,100","12,525"
272-65-1806,A,비회원,여성,컴퓨터 주변기기,"63,315",9,"569,835",2019-01-15,17:17,신용카드,"547,920","21,915"
333-73-7901,C,비회원,여성,헬스/뷰티,"57,117",8,"456,936",2019-03-23,13:24,신용카드,"439,360","17,576"
777-82-7220,B,회원,남성,홈데코,"31,325",8,"250,600",2019-03-03,13:01,현금,"240,960","9,640"
280-35-5823,B,회원,여성,홈데코,"90,189",1,"90,189",2019-01-17,18:45,신용카드,"86,720","3,469"
554-53-8700,C,회원,남성,홈데코,"58,354",2,"116,708",2019-02-02,10:11,현금,"112,220","4,488"
354-25-5821,B,회원,여성,스포츠/여행,"71,885",6,"431,310",2019-02-08,13:03,현금,"414,720","16,590"
228-96-1411,C,회원,여성,식품/음료,"102,648",8,"821,184",2019-03-04,20:39,현금,"789,600","31,584"
617-15-4209,C,회원,남성,헬스/뷰티,"15,985",2,"31,970",2019-03-16,19:47,현금,"30,740","1,230"
132-32-9879,B,회원,여성,컴퓨터 주변기기,"97,718",4,"390,872",2019-03-09,18:00,현금,"375,840","15,032"
370-41-7321,B,회원,남성,헬스/뷰티,"58,958",9,"530,622",2019-02-27,17:24,신용카드,"510,210","20,412"
727-46-3608,B,회원,여성,식품/음료,"20,810",9,"187,290",2019-02-06,15:47,신용카드,"180,090","7,200"
669-54-1719,B,회원,남성,컴퓨터 주변기기,"19,687",6,"118,122",2019-02-10,12:45,신용카드,"113,580","4,542"
574-22-5561,C,회원,여성,패션/액세서리,"85,935",10,"859,350",2019-03-19,17:08,신용카드,"826,300","33,050"
326-78-5178,C,회원,남성,식품/음료,"95,056",7,"665,392",2019-02-03,10:19,현금,"639,800","25,592"
162-48-8011,A,회원,여성,식품/음료,"46,374",5,"231,870",2019-02-10,15:10,현금,"222,950","8,920"
616-24-2851,B,회원,여성,패션/액세서리,"18,585",4,"74,340",2019-03-22,14:42,신용카드,"71,480","2,860"
778-71-5554,C,회원,남성,패션/액세서리,"16,047",1,"16,047",2019-01-25,15:46,신용카드,"15,430",617
242-55-6721,B,비회원,남성,홈데코,"16,806",2,"33,612",2019-03-07,11:49,신용카드,"32,320","1,292"
399-46-5918,C,비회원,여성,컴퓨터 주변기기,"89,419",8,"715,352",2019-02-28,19:01,현금,"687,840","27,512"
106-35-6779,A,회원,남성,홈데코,"46,114",2,"92,228",2019-03-27,11:26,현금,"88,680","3,548"
635-40-6220,A,비회원,남성,헬스/뷰티,"93,184",8,"745,472",2019-02-07,11:28,신용카드,"716,800","28,672"
817-48-8732,A,회원,여성,홈데코,"75,244",10,"752,440",2019-01-20,15:55,현금,"723,500","28,940"
120-06-4233,C,비회원,남성,컴퓨터 주변기기,"31,834",6,"191,004",2019-03-12,20:36,현금,"183,660","7,344"
285-68-5083,C,회원,여성,스포츠/여행,"25,730",3,"77,190",2019-02-15,17:47,신용카드,"74,220","2,970"
803-83-5989,C,비회원,남성,홈데코,"57,959",6,"347,754",2019-02-24,10:55,신용카드,"334,380","13,374"
347-34-2234,B,회원,여성,스포츠/여행,"57,273",9,"515,457",2019-02-03,13:40,신용카드,"495,630","19,827"
199-75-8169,A,회원,남성,스포츠/여행,"16,442",10,"164,420",2019-03-06,12:27,신용카드,"158,100","6,320"
853-23-2453,B,회원,남성,헬스/뷰티,"78,770",4,"315,080",2019-02-14,14:35,현금,"302,960","12,120"
877-22-3308,A,회원,남성,헬스/뷰티,"16,505",10,"165,050",2019-03-13,16:40,현금,"158,700","6,350"
838-78-4295,C,비회원,여성,헬스/뷰티,"34,809",2,"69,618",2019-02-10,15:43,신용카드,"66,940","2,678"
109-28-2512,B,회원,여성,패션/액세서리,"101,514",6,"609,084",2019-01-07,15:01,신용카드,"585,660","23,424"
232-11-3025,A,비회원,남성,스포츠/여행,"81,921",10,"819,210",2019-01-24,10:04,현금,"787,700","31,510"
382-03-4532,A,회원,여성,헬스/뷰티,"19,063",1,"19,063",2019-02-02,18:50,현금,"18,330",733
393-65-2792,C,비회원,남성,식품/음료,"93,059",10,"930,590",2019-01-06,12:46,신용카드,"894,800","35,790"
796-12-2025,C,비회원,남성,패션/액세서리,"64,605",10,"646,050",2019-02-11,16:19,현금,"621,200","24,850"
510-95-6347,B,회원,여성,식품/음료,"50,461",3,"151,383",2019-03-05,18:17,신용카드,"145,560","5,823"
841-35-6630,C,비회원,여성,컴퓨터 주변기기,"78,946",6,"473,676",2019-03-09,18:21,현금,"455,460","18,216"
287-21-9091,A,비회원,남성,홈데코,"77,657",9,"698,913",2019-01-22,10:55,신용카드,"672,030","26,883"
732-94-0499,C,비회원,여성,컴퓨터 주변기기,"43,316",10,"433,160",2019-01-13,17:04,신용카드,"416,500","16,660"
263-10-3913,C,회원,남성,패션/액세서리,"51,002",9,"459,018",2019-01-09,14:20,신용카드,"441,360","17,658"
381-20-0914,A,회원,여성,패션/액세서리,"20,810",9,"187,290",2019-01-12,15:48,신용카드,"180,090","7,200"
829-49-1914,C,회원,여성,식품/음료,"81,442",10,"814,420",2019-03-05,16:24,신용카드,"783,100","31,320"
756-01-7507,C,비회원,여성,헬스/뷰티,"21,195",5,"105,975",2019-01-22,18:56,현금,"101,900","4,075"
870-72-4431,C,비회원,여성,헬스/뷰티,"103,158",6,"618,948",2019-01-21,14:42,신용카드,"595,140","23,808"
847-38-7188,B,비회원,여성,식품/음료,"100,547",3,"301,641",2019-01-26,19:56,신용카드,"290,040","11,601"
480-63-2856,C,비회원,남성,식품/음료,"20,020",8,"160,160",2019-01-23,18:37,신용카드,"154,000","6,160"
787-56-0757,C,회원,여성,식품/음료,"83,574",4,"334,296",2019-02-23,18:45,신용카드,"321,440","12,856"
360-39-5055,C,회원,남성,스포츠/여행,"50,866",5,"254,330",2019-03-09,10:17,현금,"244,550","9,780"
730-50-9884,C,비회원,여성,스포츠/여행,"86,382",7,"604,674",2019-03-05,14:31,신용카드,"581,420","23,254"
362-58-8315,C,비회원,남성,패션/액세서리,"79,581",5,"397,905",2019-03-25,10:23,현금,"382,600","15,305"
633-44-8566,A,회원,남성,식품/음료,"51,355",7,"359,485",2019-03-27,20:35,신용카드,"345,660","13,825"
504-35-8843,A,비회원,남성,스포츠/여행,"44,169",1,"44,169",2019-01-02,16:57,현금,"42,470","1,699"
318-68-5053,B,비회원,여성,헬스/뷰티,"80,070",6,"480,420",2019-02-27,17:55,현금,"461,940","18,480"
565-80-5980,C,회원,여성,홈데코,"49,275",4,"197,100",2019-01-23,10:25,현금,"189,520","7,580"
225-32-0908,C,비회원,여성,스포츠/여행,"46,654",10,"466,540",2019-01-26,19:54,신용카드,"448,600","17,940"
873-51-0671,A,회원,여성,스포츠/여행,"22,859",7,"160,013",2019-01-10,16:42,신용카드,"153,860","6,153"
152-08-9985,B,회원,남성,헬스/뷰티,"66,934",9,"602,406",2019-03-12,12:09,신용카드,"579,240","23,166"
512-91-0811,C,비회원,남성,헬스/뷰티,"93,340",1,"93,340",2019-02-06,20:05,신용카드,"89,750","3,590"
594-34-4444,A,비회원,남성,컴퓨터 주변기기,"101,046",1,"101,046",2019-03-08,20:38,신용카드,"97,160","3,886"
766-85-7061,B,비회원,남성,헬스/뷰티,"91,385",10,"913,850",2019-03-29,10:25,신용카드,"878,700","35,150"
871-39-9221,C,비회원,여성,컴퓨터 주변기기,"12,948",6,"77,688",2019-02-09,13:11,현금,"74,700","2,988"
865-92-6136,A,비회원,남성,식품/음료,"54,860",3,"164,580",2019-03-23,10:16,신용카드,"158,250","6,330"
733-01-9107,B,비회원,남성,홈데코,"86,008",6,"516,048",2019-03-05,18:14,현금,"496,200","19,848"
163-56-7055,C,회원,남성,패션/액세서리,"50,658",1,"50,658",2019-03-26,19:20,현금,"48,710","1,948"
189-98-2939,C,비회원,남성,패션/액세서리,"81,692",9,"735,228",2019-03-01,13:22,현금,"706,950","28,278"
551-21-3069,C,비회원,여성,컴퓨터 주변기기,"23,993",9,"215,937",2019-02-01,11:27,현금,"207,630","8,307"
212-62-1842,A,비회원,남성,식품/음료,"60,590",6,"363,540",2019-03-28,16:44,현금,"349,560","13,980"
716-39-1409,B,비회원,남성,헬스/뷰티,"31,564",7,"220,948",2019-03-19,18:19,현금,"212,450","8,498"
704-48-3927,A,회원,남성,컴퓨터 주변기기,"92,217",10,"922,170",2019-01-12,14:50,신용카드,"886,700","35,470"
628-34-3388,C,비회원,남성,패션/액세서리,"28,475",6,"170,850",2019-01-05,20:54,신용카드,"164,280","6,570"
630-74-5166,A,비회원,남성,스포츠/여행,"64,615",6,"387,690",2019-03-22,20:19,현금,"372,780","14,910"
588-01-7461,C,비회원,여성,식품/음료,"35,339",9,"318,051",2019-03-24,10:43,현금,"305,820","12,231"
861-77-0145,C,회원,남성,컴퓨터 주변기기,"85,249",10,"852,490",2019-03-03,14:30,현금,"819,700","32,790"
479-26-8945,B,회원,여성,스포츠/여행,"17,150",2,"34,300",2019-02-05,11:32,신용카드,"32,980","1,320"
210-67-5886,C,회원,여성,헬스/뷰티,"102,138",3,"306,414",2019-02-05,10:41,신용카드,"294,630","11,784"
227-78-1148,B,비회원,여성,패션/액세서리,"75,754",7,"530,278",2019-02-15,12:44,현금,"509,880","20,398"
645-44-1170,A,회원,남성,홈데코,"60,393",9,"543,537",2019-01-19,20:07,신용카드,"522,630","20,907"
237-01-6122,C,회원,여성,홈데코,"84,022",9,"756,198",2019-02-01,20:31,신용카드,"727,110","29,088"
225-98-1496,C,비회원,여성,패션/액세서리,"28,101",3,"84,303",2019-03-02,13:01,신용카드,"81,060","3,243"
291-32-1427,B,회원,남성,패션/액세서리,"22,818",5,"114,090",2019-03-05,12:29,신용카드,"109,700","4,390"
659-65-8956,B,회원,남성,패션/액세서리,"53,414",1,"53,414",2019-01-16,15:26,신용카드,"51,360","2,054"
642-32-2990,A,비회원,여성,식품/음료,"11,398",10,"113,980",2019-02-02,20:48,신용카드,"109,600","4,380"
378-24-2715,B,비회원,남성,홈데코,"55,578",2,"111,156",2019-01-20,20:38,신용카드,"106,880","4,276"
638-60-7125,A,비회원,여성,컴퓨터 주변기기,"103,542",8,"828,336",2019-02-14,17:03,신용카드,"796,480","31,856"
659-36-1684,C,회원,남성,스포츠/여행,"59,405",7,"415,835",2019-01-12,12:02,신용카드,"399,840","15,995"
219-22-9386,B,회원,남성,스포츠/여행,"103,958",9,"935,622",2019-03-09,17:26,신용카드,"899,640","35,982"
336-78-2147,C,회원,남성,홈데코,"66,466",8,"531,728",2019-03-13,19:52,신용카드,"511,280","20,448"
268-27-6179,B,회원,여성,패션/액세서리,"58,729",8,"469,832",2019-03-09,14:57,신용카드,"451,760","18,072"
668-90-8900,A,비회원,여성,홈데코,"97,438",7,"682,066",2019-03-10,18:44,신용카드,"655,830","26,236"
870-54-3162,A,비회원,여성,스포츠/여행,"33,540",5,"167,700",2019-01-27,13:26,현금,"161,250","6,450"
189-08-9157,C,비회원,여성,패션/액세서리,"32,999",9,"296,991",2019-01-08,16:17,신용카드,"285,570","11,421"
663-86-9076,C,회원,여성,식품/음료,"71,282",8,"570,256",2019-01-08,15:57,신용카드,"548,320","21,936"
549-84-7482,B,비회원,여성,스포츠/여행,"93,891",9,"845,019",2019-02-08,11:15,신용카드,"812,520","32,499"
191-10-6171,B,비회원,여성,패션/액세서리,"41,205",7,"288,435",2019-01-25,13:18,현금,"277,340","11,095"
802-70-5316,A,회원,여성,스포츠/여행,"95,815",6,"574,890",2019-03-06,20:34,현금,"552,780","22,110"
695-51-0018,B,비회원,여성,스포츠/여행,"36,234",4,"144,936",2019-02-10,18:36,현금,"139,360","5,576"
590-83-4591,B,회원,남성,컴퓨터 주변기기,"90,948",6,"545,688",2019-02-17,14:40,신용카드,"524,700","20,988"
483-71-1164,C,비회원,여성,헬스/뷰티,"84,552",6,"507,312",2019-03-08,16:43,신용카드,"487,800","19,512"
597-78-7908,C,비회원,남성,패션/액세서리,"93,829",3,"281,487",2019-02-18,19:39,현금,"270,660","10,827"
700-81-1757,A,비회원,여성,컴퓨터 주변기기,"27,362",5,"136,810",2019-01-18,20:59,신용카드,"131,550","5,260"
354-39-5160,A,회원,여성,홈데코,"35,797",6,"214,782",2019-02-18,15:39,현금,"206,520","8,262"
241-72-9525,B,비회원,남성,스포츠/여행,"53,986",10,"539,860",2019-02-16,12:21,현금,"519,100","20,760"
575-30-8091,A,비회원,남성,스포츠/여행,"75,400",8,"603,200",2019-03-16,19:25,신용카드,"580,000","23,200"
731-81-9469,C,회원,여성,스포츠/여행,"93,392",10,"933,920",2019-01-23,13:00,신용카드,"898,000","35,920"
280-17-4359,C,회원,남성,헬스/뷰티,"94,120",10,"941,200",2019-01-25,13:48,현금,"905,000","36,200"
338-65-2210,C,회원,여성,헬스/뷰티,"71,344",10,"713,440",2019-02-05,19:57,현금,"686,000","27,440"
488-25-4221,C,회원,여성,식품/음료,"31,626",1,"31,626",2019-02-22,10:36,신용카드,"30,410","1,216"
239-10-7476,A,비회원,여성,홈데코,"81,068",6,"486,408",2019-01-21,16:37,신용카드,"467,700","18,708"
458-41-1477,C,비회원,여성,헬스/뷰티,"48,110",6,"288,660",2019-03-08,17:11,신용카드,"277,560","11,100"
685-64-1609,A,회원,여성,패션/액세서리,"31,346",10,"313,460",2019-02-10,12:28,신용카드,"301,400","12,060"
568-90-5112,C,비회원,남성,헬스/뷰티,"68,786",4,"275,144",2019-03-19,12:46,신용카드,"264,560","10,584"
262-47-2794,B,회원,남성,홈데코,"74,734",8,"597,872",2019-03-06,15:07,신용카드,"574,880","22,992"
238-49-0436,A,비회원,남성,헬스/뷰티,"33,758",8,"270,064",2019-03-27,13:48,신용카드,"259,680","10,384"
608-96-3517,B,회원,여성,패션/액세서리,"95,202",4,"380,808",2019-03-23,19:20,신용카드,"366,160","14,648"
584-86-7256,C,회원,남성,스포츠/여행,"35,942",7,"251,594",2019-03-11,16:07,신용카드,"241,920","9,674"
746-94-0204,A,비회원,남성,패션/액세서리,"86,570",9,"779,130",2019-01-29,11:56,신용카드,"749,160","29,970"
214-17-6927,C,비회원,여성,식품/음료,"17,139",6,"102,834",2019-02-07,18:23,신용카드,"98,880","3,954"
400-89-4171,C,비회원,여성,스포츠/여행,"84,209",8,"673,672",2019-01-28,13:05,현금,"647,760","25,912"
782-95-9291,A,회원,남성,식품/음료,"95,982",5,"479,910",2019-02-20,15:55,신용카드,"461,450","18,460"
279-74-2924,B,회원,남성,컴퓨터 주변기기,"75,057",1,"75,057",2019-01-04,19:40,현금,"72,170","2,887"
